file,n,best_cost,generations,mu,lambda,tau,mutation_rate,init_greedy_frac,es_mode,use_2opt_local,time_seconds
problem_g_10.npy,10,1497.6636482252907,300,50,100,3,0.2,0.7,(mu+lambda),0,1.189
problem_g_20.npy,20,1755.514677083005,300,50,100,3,0.2,0.7,(mu+lambda),0,1.279
problem_g_50.npy,50,3268.5376853144026,300,50,100,3,0.2,0.7,(mu+lambda),0,1.463
problem_g_100.npy,100,5240.010049604381,300,50,100,3,0.2,0.7,(mu+lambda),0,1.786
problem_g_200.npy,200,7982.5501877017105,300,50,100,3,0.2,0.7,(mu+lambda),0,2.383
problem_g_500.npy,500,16900.435984806394,300,50,100,3,0.2,0.7,(mu+lambda),0,4.652
problem_g_1000.npy,1000,34847.47171018348,300,50,100,3,0.2,0.7,(mu+lambda),0,10.407
problem_r1_10.npy,10,184.27344079993895,300,50,100,3,0.2,0.7,(mu+lambda),0,1.174
problem_r1_20.npy,20,392.2552426943303,300,50,100,3,0.2,0.7,(mu+lambda),0,1.251
problem_r1_50.npy,50,599.1287303249921,300,50,100,3,0.2,0.7,(mu+lambda),0,1.441
problem_r1_100.npy,100,915.6551830625207,300,50,100,3,0.2,0.7,(mu+lambda),0,1.784
problem_r1_200.npy,200,1583.3343412876393,300,50,100,3,0.2,0.7,(mu+lambda),0,2.438
problem_r1_500.npy,500,2895.878554947596,300,50,100,3,0.2,0.7,(mu+lambda),0,4.801
problem_r1_1000.npy,1000,6131.335623109955,300,50,100,3,0.2,0.7,(mu+lambda),0,8.749
problem_r2_10.npy,10,-411.7017155524984,300,50,100,3,0.2,0.7,(mu+lambda),0,1.223
problem_r2_20.npy,20,-796.8630459318108,300,50,100,3,0.2,0.7,(mu+lambda),0,1.278
problem_r2_50.npy,50,-2141.313907633653,300,50,100,3,0.2,0.7,(mu+lambda),0,1.472
problem_r2_100.npy,100,-4406.837392834748,300,50,100,3,0.2,0.7,(mu+lambda),0,1.776
problem_r2_200.npy,200,-9131.44808499145,300,50,100,3,0.2,0.7,(mu+lambda),0,2.414
problem_r2_500.npy,500,-23005.31020284416,300,50,100,3,0.2,0.7,(mu+lambda),0,4.677
problem_r2_1000.npy,1000,-46515.42194951282,300,50,100,3,0.2,0.7,(mu+lambda),0,9.606
test_problem.npy,20,2823.79,300,50,100,3,0.2,0.7,(mu+lambda),0,1.272
