file,n,best_cost,restarts,avg_sweeps,strategy,seed,pair_sample_cap,use_sa,seconds
problem_g_10.npy,10,1497.663648,8,1270,first,greedy,20000,TRUE,10.358
problem_g_100.npy,100,4017.487162,8,2128.62,first,greedy,20000,TRUE,18.531
problem_g_1000.npy,1000,13180.08037,8,4786.5,first,greedy,20000,TRUE,53.768
problem_g_20.npy,20,1755.514677,8,2667.25,first,greedy,20000,TRUE,23.74
problem_g_200.npy,200,5663.378541,8,2744.38,first,greedy,20000,TRUE,43.101
problem_g_50.npy,50,2663.122324,8,2510.38,first,greedy,20000,TRUE,38.018
problem_g_500.npy,500,9162.391857,8,3635.5,first,greedy,20000,TRUE,42.811
problem_r1_10.npy,10,-12950.39832,8,2146.38,first,greedy,20000,TRUE,2.348
problem_r1_100.npy,100,-19115.27288,8,4824.12,first,greedy,20000,TRUE,99.691
problem_r1_1000.npy,1000,-43271.69282,8,8000,first,greedy,20000,TRUE,14.323
problem_r1_20.npy,20,-10766.83687,8,2837,first,greedy,20000,TRUE,15.947
problem_r1_200.npy,200,-38118.55627,8,7652.5,first,greedy,20000,TRUE,42.831
problem_r1_50.npy,50,-17925.00381,8,3704,first,greedy,20000,TRUE,41.328
problem_r1_500.npy,500,-43973.21327,8,8000,first,greedy,20000,TRUE,20.123
problem_r2_10.npy,10,-22512.80091,8,1413.88,first,greedy,20000,TRUE,12.678
problem_r2_100.npy,100,-258709.4222,8,8000,first,greedy,20000,TRUE,1.207
problem_r2_1000.npy,1000,-305382.765,8,8000,first,greedy,20000,TRUE,1.451
problem_r2_20.npy,20,-222559.1479,8,8000,first,greedy,20000,TRUE,2.133
problem_r2_200.npy,200,-262579.5386,8,8000,first,greedy,20000,TRUE,1.145
problem_r2_50.npy,50,-247376.8932,8,8000,first,greedy,20000,TRUE,1.257
problem_r2_500.npy,500,-280062.9378,8,8000,first,greedy,20000,TRUE,1.36
test_problem.npy,20,2823.79,8,1632.88,first,greedy,20000,TRUE,13.774
